,highway,side,between,time,period,start_loc,end_loc
3310,Clinton Street,East,A point 94 metres south of Jersey Avenue and a point 60.9 metres further south,"7:00 a.m. to 9:30 a.m., 11:00 a.m. to 1:30 p.m. and 3:15 p.m. to 5:00 p.m., Mon. to Fri.",15 mins.,A point 94 metres south of Jersey Avenue , a point 60.9 metres further south
3311,Clinton Street,East,A point 154.9 metres south of Jersey Avenue and a point 33 metres further south,"7:00 a.m. to 6:00 p.m., Mon. to Fri.",15 mins.,A point 154.9 metres south of Jersey Avenue , a point 33 metres further south
3314,King Street West,North,A point 65.5 metres east of Dufferin Street and Cowan Avenue,"10:00 a.m. to 3:00 p.m., Mon. to Fri.; 8:00 a.m. to 6:00 p.m., Sat.",1 hour,A point 65.5 metres east of Dufferin Street , Cowan Avenue
3315,King Street West,North,Crawford Street and Strachan Avenue,"10:00 a.m. to 3:00 p.m., Mon. to Fri.; 8:00 a.m. to 6:00 p.m., Sat.",1 hour,Crawford Street , Strachan Avenue
3316,King Street West,North,Shaw Street and a point 92.5 metres east of Dufferin Street,"10:00 a.m. to 3:00 p.m., Mon. to Fri.; 8:00 a.m. to 6:00 p.m., Sat.",1 hour,Shaw Street , a point 92.5 metres east of Dufferin Street
3317,King Street West,North,Stafford Street and Niagara Street,"10:00 a.m. to 3:00 p.m., Mon. to Fri.; 8:00 a.m. to 6:00 p.m., Sat.",1 hour,Stafford Street , Niagara Street
3318,King Street West,South,A point opposite Sudbury Street and Stanley Terrace,"10:00 a.m. to 3:00 p.m., Mon. to Fri.; 8:00 a.m. to 6:00 p.m., Sat.",1 hour,A point opposite Sudbury Street , Stanley Terrace
3319,King Street West,South,Cowan Avenue and Jefferson Avenue,"10:00 a.m. to 3:00 p.m., Mon. to Fri.; 8:00 a.m. to 6:00 p.m., Sat.",1 hour,Cowan Avenue , Jefferson Avenue
3320,King Street West,South,Walnut Avenue and Niagara Street,"10:00 a.m. to 3:00 p.m., Mon. to Fri.; 8:00 a.m. to 6:00 p.m., Sat.",1 hour,Walnut Avenue , Niagara Street
3321,Doncaster Avenue,South,Main Street and Barrington Avenue,8:00 a.m. to 6:00 p.m. Mon. to Fri.,1 hour,Main Street , Barrington Avenue
3322,Railside Road,East,Lawrence Avenue East (east intersection) and a point 490 metres south,12:00 a.m. to 5:00 p.m.,1 hour,Lawrence Avenue East (east intersection) , a point 490 metres south
3323,Railside Road,"East, south and west",Lawrence Avenue East (west intersection) and a point 568 metres south of Lawrence Avenue East (east intersection),12:00 a.m. to 5:00 p.m.,1 hour,Lawrence Avenue East (west intersection) , a point 568 metres south of Lawrence Avenue East (east intersection)
3324,Sherbourne Street,West,A point 123.9 metres north of Dundas Street East and a point 11 metres further north,All times,15 mins.,A point 123.9 metres north of Dundas Street East , a point 11 metres further north
3325,Sherbourne Street,West,A point 72.4 metres south of Gerrard Street East and a point 11 metres further south,All times,15 mins.,A point 72.4 metres south of Gerrard Street East , a point 11 metres further south
3326,Crawford Street,East,Adelaide Street West and a point 56 metres south of Queen Street West,"10:00 am. to 6:00 p.m., Mon. to Fri.",1 hour,Adelaide Street West , a point 56 metres south of Queen Street West
3330,Lennox Street,North,A point 20 metres east of Palmerston Boulevard and Markham Street,Anytime,1 hour,A point 20 metres east of Palmerston Boulevard , Markham Street
3331,Lennox Street,South,Manning Avenue and Palmerston Boulevard,Anytime,1 hour,Manning Avenue , Palmerston Boulevard
3332,Tecumseth Street,East,Wellington Street West and King Street West,"10:00 a.m. to 6:00 p.m., Mon. to Fri.",1 hour,Wellington Street West , King Street West
3333,Westlake Avenue (TO),East,Harris Avenue and Gates Avenue,"8:30 a.m. to 4:30 p.m., Mon. to Fri.",1 hour,Harris Avenue , Gates Avenue
3334,Jenet Avenue,North,Wade Avenue and a point 34 metres east,8:00 a.m. to 6:00 p.m. Mon. to Fri.,1 hour,Wade Avenue , a point 34 metres east
3335,Jenet Avenue,North,A point 37 metres east of Wade Avenue and Lansdowne Avenue,8:00 a.m. to 6:00 p.m. Mon. to Fri.,1 hour,A point 37 metres east of Wade Avenue , Lansdowne Avenue
3336,Dunloe Road,West,A point 20 metres north of Hawarden Crescent and a point 33 metres further north,"8:15 a.m. to 9:30 a.m., 11:30 a.m. to 1:15 p.m. and 3:00 p.m. to 6:00 p.m., Mon. to Fri.",15 mins.,A point 20 metres north of Hawarden Crescent , a point 33 metres further north
3337,Dunloe Road,West,A point 53 metres north of Hawarden Crescent and a point 29 metres further north,"9:00 a.m. to 9:30 a.m., 11:30 a.m. to 1:15 p.m. and 3:00 p.m. to 6:00 p.m., Mon. to Fri.",15 mins.,A point 53 metres north of Hawarden Crescent , a point 29 metres further north
3338,Dunloe Road,West,A point 82 metres north of Hawarden Crescent and Archer Road,"8:15 a.m. to 9:30 a.m., 11:30 a.m. to 1:15 p.m. and 3:00 p.m. to 6:00 p.m., Mon. to Fri.",15 mins.,A point 82 metres north of Hawarden Crescent , Archer Road
3339,Lipton Avenue,South,A point 20.5 metres east of Pape Avenue and a point 56.5 metres further east,"8:00 a.m. to 6:00 p.m., Mon. to Sat.",1 hour,A point 20.5 metres east of Pape Avenue , a point 56.5 metres further east
3340,Weston Road,East,Sunnybrae Crescent and Bartonville Avenue West,"9:00 a.m. to 4:00 p.m. Mon. to Fri.; 8:00 a.m. to 6:00 p.m., Sat.",1 hour,Sunnybrae Crescent , Bartonville Avenue West
3341,Dovercourt Road,East,A point 87 metres north of Northumberland Street and a point 13 metres further north,"7:00 a.m. to 9:00 a.m. and 4:00 p.m. to 6:00 p.m., Mon. to Fri.",15 mins.,A point 87 metres north of Northumberl, Street 
3342,Durant Avenue,West,A point 9 metres south of Plains Road and a point 13.5 metres further south,"7:30 a.m. to 4:30 p.m., Mon. to Fri.",10 mins.,A point 9 metres south of Plains Road , a point 13.5 metres further south
3343,Plains Road,South,A point 53 metres east of Northridge Avenue and a point 31 metres further east,"7:30 a.m. to 4:30 p.m., Mon. to Fri.",10 mins.,A point 53 metres east of Northridge Avenue , a point 31 metres further east
3344,Plains Road,South,A point 109 metres east of Northridge Avenue and a point 59 metres further east,"7:30 a.m. to 4:30 p.m., Mon. to Fri.",10 mins.,A point 109 metres east of Northridge Avenue , a point 59 metres further east
3345,Front Street West,South,A point 140 metres east of Bathurst Street and a point 30.5 metres west of Portland Street,"9:30 a.m. of one day to 7:30 a.m. of the next following day, Mon. to Fri.; anytime Sat., Sun. and public holidays",13 hours (buses only),A point 140 metres east of Bathurst Street , a point 30.5 metres west of Portl
3346,Front Street West,South,A point 30.5 metres east of Portland Street and a point 200 metres east of Portland Street,"9:30 a.m. of one day to 7:30 a.m. of the next following day, Mon. to Fri.; anytime Sat., Sun. and public holidays",13 hours (buses only),A point 30.5 metres east of Portl, Street 
3348,Givins Street,East,A point 59 metres south of Argyle Street and a point 45 metres further south,"7:15 a.m. to 9:30 a.m., 11:30 a.m. to 1:30 p.m., 3:15 p.m. to 6:00 p.m., Mon. to Fri.",15 mins.,A point 59 metres south of Argyle Street , a point 45 metres further south
3349,Bay Street,East,A point 15 metres north of Queens Quay West and a point 14 metres further north,"8:00 a.m. to 4:30 p.m. Mon. to Fri. from Jul. 1 to Aug. 31, inclusive",1 hour (buses only),A point 15 metres north of Queens Quay West , a point 14 metres further north
3351,Bay Street,West,A point 15 metres north of Queens Quay West and a point 45 metres further north,"8:00 a.m. to 4:30 p.m. Mon. to Fri. from Jul. 1 to Aug. 31, inclusive",1 hour (buses only),A point 15 metres north of Queens Quay West , a point 45 metres further north
3352,Loney Avenue,East,A point 26 metres south of Yvonne Avenue and a point 169 metres further south,"8:00 a.m. to 4:00 p.m., Mon. to Fri.",8 hours,A point 26 metres south of Yvonne Avenue , a point 169 metres further south
3353,Stilecroft Drive,North,A point 45 metres east of Sentinel Road (north intersection) and a point 32 metres further east,"8:00 a.m. to 4:00 p.m., Mon. to Fri.",15 mins.,A point 45 metres east of Sentinel Road (north intersection) , a point 32 metres further east
3354,Aerodrome Crescent,East,A point 45 metres north of Vanderhoof Avenue (west intersection) and a point 80 metres further north,Anytime,15 mins.,A point 45 metres north of V,erhoof Avenue (west intersection) 
3355,Aerodrome Crescent,North,A point 155 metres north of Vanderhoof Avenue (west intersection) and a point 55 metres east,Anytime,15 mins.,A point 155 metres north of V,erhoof Avenue (west intersection) 
3356,Aerodrome Crescent,West,Vanderhoof Avenue (east intersection) and a point 48 metres north,Anytime,15 mins.,V,erhoof Avenue (east intersection) 
3357,Brian Peck Crescent,East,Vanderhoof Avenue and a point 36 metres north,Anytime,15 mins.,V,erhoof Avenue 
3358,Thomas Elgie Drive,West,Vanderhoof Avenue and a point 107 metres north,Anytime,15 mins.,V,erhoof Avenue 
3359,Denison Avenue,West,A point 30.5 metres south of Dundas Street West and a point 33.5 metres further south,"7:30 a.m. to 10:00 a.m., 11:00 a.m. to 1:30 p.m., 3:00 p.m. to 6:30 p.m., Mon. to Fri.",10 mins.,A point 30.5 metres south of Dundas Street West , a point 33.5 metres further south
3360,Pembroke Street,West,A point 65.5 metres south of Dundas Street East and a point 29.5 metres further south,"7:30 a.m. to 10:00 a.m. and 3:30 p.m. to 6:15 p.m., Mon. to Fri.",15 mins.,A point 65.5 metres south of Dundas Street East , a point 29.5 metres further south
3361,Pembroke Street,West,A point 213.5 metres south of Dundas Street East and Shuter Street,"7:30 a.m. to 10:00 a.m. and 3:30 p.m. to 6:15 p.m., Mon. to Fri.",15 mins.,A point 213.5 metres south of Dundas Street East , Shuter Street
3362,Northumberland Street,South,Westmoreland Avenue and Dovercourt Road,8:00 a.m. to 6:00 p.m.,1 hour,Westmorel, Avenue 
3363,Bridgman Avenue,South,A point 15 metres east of Bathurst Street and Dartnell Avenue,10:00 a.m. to 6:00 p.m.,1 hour,A point 15 metres east of Bathurst Street , Dartnell Avenue
3364,Kingston Road,South,Eastville Avenue and a point 36 metres west of Harewood Avenue,Anytime,1 hour,Eastville Avenue , a point 36 metres west of Harewood Avenue
3365,Weston Road,West,Sidney Belsey Crescent and a point 85.8 metres north of a point opposite Oak Street,Anytime,1 hour,Sidney Belsey Crescent , a point 85.8 metres north of a point opposite Oak Street
3366,Weston Road,West,Lambton Avenue and Jane Street,Anytime,1 hour,Lambton Avenue , Jane Street
3367,Kippendavie Avenue,East,A point 9 metres south of Queen Street East and a point 107 metres south,"7:30 a.m. to 6:15 p.m., Mon. to Fri.",15 mins.,A point 9 metres south of Queen Street East , a point 107 metres south
3368,Major Street,East,Bloor Street West and a point 33 metres south,7:30 a.m. to 9:30 a.m. and 3:00 p.m. to 5:00 p.m Mon. to Fri. except public holidays,10 mins.,Bloor Street West , a point 33 metres south
3369,Major Street,East,Bloor Street West and a point 33 metres south,10:00 a.m. to 2:30 p.m. Mon. to Fri.; 8:00 a.m. to 6:00 p.m. Sat. and Sun.,1 hour,Bloor Street West , a point 33 metres south
3370,Major Street,East,Sussex Avenue and a point 33 metres south of Bloor Street West,"8:00 a.m. to 6:00 p.m., 1st day to the 15th day of each month, from Apr. 1 to Nov. 30, inclusive and from Dec. 1 of one year to Mar. 31 of the next following year, inclusive",1 hour,Sussex Avenue , a point 33 metres south of Bloor Street West
3371,Major Street,West,Sussex Avenue and a point 33 metres south of Bloor Street West,"8:00 a.m. to 6:00 p.m., 16th day to the last day of each month, from Apr. 1 to Nov. 30, inclusive",1 hour,Sussex Avenue , a point 33 metres south of Bloor Street West
3372,Alexander Street (TO),South,A point 30.5 metres east of Church Street and a point 49 metres further east,"7:00 a.m. to 9:00 a.m., 11:30 a.m. to 1:00 p.m. and 2:45 p.m. to 6:00 p.m., Mon. to Fri.",10 mins.,A point 30.5 metres east of Church Street , a point 49 metres further east
3373,Princess Anne Crescent,East,A point 70 metres south of Princess Margaret Boulevard and a point 150 metres further south,"8:00 a.m. to 5:00 p.m., Mon. to Fri.",10 mins.,A point 70 metres south of Princess Margaret Boulevard , a point 150 metres further south
3374,Silverstone Drive,West,A point 66 metres south of Mount Olive Drive (south intersection) and a point 33 metres further south,7:30 a.m. to 6:00 p.m. Mon. to Fri.,15 mins.,A point 66 metres south of Mount Olive Drive (south intersection) , a point 33 metres further south
3377,Shaw Street,East,Argyle Street and a point 41.5 metres south of Dundas Street West,8:00 a.m. to 6:00 pm.,1 hour,Argyle Street , a point 41.5 metres south of Dundas Street West
3378,Shaw Street,West,Argyle Street and Dundas Street West,8:00 a.m. to 6:00 pm.,1 hour,Argyle Street , Dundas Street West
3379,Close Avenue,West,A point 111 metres south of King Street West and a point 61.5 metres further south,"8:00 a.m. to 9:00 a.m., 11:00 a.m. to 1:30 p.m. and 3:30 p.m. to 6:00 p.m., Mon. to Fri.",10 mins.,A point 111 metres south of King Street West , a point 61.5 metres further south
3380,St. Clarens Avenue,East,A point 76.2 metres north of Bloor Street West (west intersection) and Paton Road,10:00 a.m. to 6:00 p.m.,1 hour,A point 76.2 metres north of Bloor Street West (west intersection) , Paton Road
3382,Simcoe Street,East,A point 255 metres north of Queen Street West and Dundas Street West,"8:00 a.m. to 6:00 p.m., Mon. to Sat.",1 hour,A point 255 metres north of Queen Street West , Dundas Street West
3383,Macpherson Avenue,North,Avenue Road and a point 34.2 metres west of Yonge Street,"10:00 a.m. to 6:00 p.m. from June 1 to Oct. 31, inclusive",1 hour,Avenue Road , a point 34.2 metres west of Yonge Street
3384,Bleecker Street,West,A point 63 metres north of Wellesley Street East and Earl Street,Anytime,2 hours,A point 63 metres north of Wellesley Street East , Earl Street
3385,Bleecker Street,West,A point 175.2 metres north of Earl Street and Howard Street,Anytime,2 hours,A point 175.2 metres north of Earl Street , Howard Street
3389,Regent Park Boulevard,West,A point 15 metres south of Dundas Street East and a point 30 metres further south,"3:00 p.m. to 8:00 p.m., Mon. to Fri. and 9:00 a.m. to 5:00 p.m., Sat. and Sun.",15 mins.,A point 15 metres south of Dundas Street East , a point 30 metres further south
3390,Leslie Street,East,A point 30.5 metres south of Dundas Street East and a point 47.5 metres south of Dundas Street East,8:00 a.m. to 6:00 p.m. Mon. to Fri.,1 hour,A point 30.5 metres south of Dundas Street East , a point 47.5 metres south of Dundas Street East
3391,Leslie Street,East,A point 44 metres north of Queen Street East and a point 100.5 metres south of Dundas Street East,8:00 a.m. to 6:00 p.m. Mon. to Fri.,1 hour,A point 44 metres north of Queen Street East , a point 100.5 metres south of Dundas Street East
3394,Connaught Avenue (TO),West,A point 53 metres south of Queen Street East and a point 114 metres further south,8:00 a.m. to 6:00 p.m.,1 hour,A point 53 metres south of Queen Street East , a point 114 metres further south
3395,Argyle Street,South,Dovercourt Road and Ossington Avenue,8:00 a.m. to 6:00 p.m.,1 hour,Dovercourt Road , Ossington Avenue
3396,Argyle Street,South,Givins Street and Shaw Street,8:00 a.m. to 6:00 p.m.,1 hour,Givins Street , Shaw Street
3398,Euclid Avenue,East,Queen Street West and Dundas Street West,8:00 a.m. to 6:00 p.m.,1 hour,Queen Street West , Dundas Street West
3399,Bastedo Avenue,West,Stacy Street and a point 20 metres south of Danforth Avenue,8:00 a.m. to 6:00 p.m. Mon. to Sat.,1 hour,Stacy Street , a point 20 metres south of Danforth Avenue
3400,Wolfrey Avenue,North,Bowden Street and Hampton Avenue,11:00 a.m. to 6:00 p.m. Mon. to Fri.,1 hour,Bowden Street , Hampton Avenue
3401,Eastern Avenue,North,A point 15 metres east of Laing Street and a point 75 metres west of Minto Street,"9:00 a.m. to 6:00 p.m., Mon. to Fri.",1 hour,A point 15 metres east of Laing Street , a point 75 metres west of Minto Street
3402,Saranac Boulevard,South,A point 30 metres west of Bathurst Street and a point 53 metres further west,"6:00 a.m. to 6:00 p.m., Mon. to Fri.",15 mins.,A point 30 metres west of Bathurst Street , a point 53 metres further west
3403,Broadlands Boulevard,North,A point 15 metres west of Shaunavon Heights Crescent (west intersection) and a point 36 metres further west,"8:00 a.m. to 4:00 p.m., Mon. to Fri.",10 mins.,A point 15 metres west of Shaunavon Heights Crescent (west intersection) , a point 36 metres further west
3404,Broadlands Boulevard,North,A point 129 metres west of Shaunavon Heights Crescent (west intersection) and Rialto Drive,"8:00 a.m. to 4:00 p.m., Mon. to Fri.",10 mins.,A point 129 metres west of Shaunavon Heights Crescent (west intersection) , Rialto Drive
3405,Gore Vale Avenue,East,Queen Street West and Dundas Street West,9:00 a.m. to 5:00 p.m. and 7:00 p.m. to 12:00 a.m.,1 hour,Queen Street West , Dundas Street West
3406,Richardson Street,West,A point 77.8 metres north of Queens Quay East and Lake Shore Boulevard East,8:00 a.m. to 6:00 p.m.,1 hour,A point 77.8 metres north of Queens Quay East , Lake Shore Boulevard East
3408,Macpherson Avenue,North,A point 38 metres east of Madison Avenue and a point 14 metres further east,Anytime,5 mins.,A point 38 metres east of Madison Avenue , a point 14 metres further east
3409,Dovercourt Road,West,Harrison Street and a point 123.5 metres north of Dundas Street West,"8:00 a.m. to 6:00 p.m., Mon. to Sat.",1 hour,Harrison Street , a point 123.5 metres north of Dundas Street West
3410,Dell Park Avenue,North,Shermount Avenue and Englemount Avenue,8:00 a.m. to 6:00 p.m. Mon. to Fri.,2 hours,Shermount Avenue , Englemount Avenue
3411,Preakness Drive,North,Scarsdale Road and a point 82 metres west,"8:00 a.m. to 6:00 p.m., Mon. to Fri.",10 mins.,Scarsdale Road , a point 82 metres west
3412,Sterling Road,East,Bloor Street West and a point 23 metres south,10:00 a.m. to 5:00 p.m. Mon. to Fri.,1 hour,Bloor Street West , a point 23 metres south
3413,Sterling Road,East,A point 45 metres south of Bloor Street West and Perth Avenue,10:00 a.m. to 5:00 p.m. Mon. to Fri.,1 hour,A point 45 metres south of Bloor Street West , Perth Avenue
3414,Perth Avenue,East,Bloor Street West (east intersection) and a point 76.2 metres west of Sterling Road,10:00 a.m. to 5:00 p.m. Mon. to Fri.,1 hour,Bloor Street West (east intersection) , a point 76.2 metres west of Sterling Road
3416,Walmer Road,East,St. Clair Avenue West and a point 43 metres south,"8:00 a.m. to 6:00 p.m., Mon. to Fri.",1 hour,St. Clair Avenue West , a point 43 metres south
3417,Merton Street,South,A point 266 metres east of Yonge Street and a point 11 metres further east,"7:30 a.m. to 9:30 a.m. and 4:00 p.m. to 6:00 p.m., Mon. to Fri.",10 mins.,A point 266 metres east of Yonge Street , a point 11 metres further east
3419,Gateway Boulevard,West,A point 40 metres north of Grenoble Drive (south intersection) and a point 28 metres further north,"8:00 a.m. to 4:00 p.m., Mon. to Fri.",10 mins.,A point 40 metres north of Grenoble Drive (south intersection) , a point 28 metres further north
3420,Gateway Boulevard,West,A point 105 metres north of Grenoble Drive (south intersection) and a point 28 metres further north,"8:00 a.m. to 4:00 p.m., Mon. to Fri.",10 mins.,A point 105 metres north of Grenoble Drive (south intersection) , a point 28 metres further north
3422,Helendale Avenue,North,Duplex Avenue and a point 98.6 metres west of Yonge Street,10:00 a.m. to 6:00 p.m.,1 hour,Duplex Avenue , a point 98.6 metres west of Yonge Street
3423,Basil Hall Court,East,A point 30 metres north of the south end of Basil Hall Court and a point 30 metres further north,7:30 a.m. to 9:00 a.m. and 4:00 p.m. to 6:00 p.m.,15 mins.,A point 30 metres north of the south end of Basil Hall Court , a point 30 metres further north
3424,Dane Avenue,South,A point 35 metres east of Dufferin Street and Via Bagnato,6:00 a.m. to 7:00 p.m., 20 mins.,A point 35 metres east of Dufferin Street , Via Bagnato
3425,Via Bagnato,West,Dane Avenue and a point 35 metres south,6:00 a.m. to 7:00 p.m., 20 mins.,Dane Avenue , a point 35 metres south
3426,Arlington Avenue,East,A point 37.5 metres north of St. Clair Avenue West and Hursting Avenue,"8:00 a.m. to 7:00 p.m., from the 1st day of each month to the 15th day of each month from Apr. 1 to Nov. 30, inclusive",1 hour,A point 37.5 metres north of St. Clair Avenue West , Hursting Avenue
3427,Arlington Avenue,West,A point 37.5 metres north of St. Clair Avenue West and Hursting Avenue,"8:00 a.m. to 7:00 p.m., from Dec. 1 of one year to Mar. 31 of the next following year, inclusive and from the 16th day of each month to the last day of each month from Apr. 1 to Nov. 30, inclusive",1 hour,A point 37.5 metres north of St. Clair Avenue West , Hursting Avenue
3429,Dundas Street West,South,A point opposite Heintzman Avenue and a point 63 metres west of Indian Grove,9:00 a.m. to 6:00 p.m.,1 hour,A point opposite Heintzman Avenue , a point 63 metres west of Indian Grove
3430,Isaac Devins Boulevard,East,A point 15 metres south of McCartney Street and a point 69 metres south of Betty Nagle Street,8:00 p.m. of one day to 8:00 a.m. of the next following day,12 hours,A point 15 metres south of McCartney Street , a point 69 metres south of Betty Nagle Street
3431,Redgrave Drive,South,A point 105 metres west of Martin Grove Road and a point 70 metres further west,"8:00 a.m. to 5:00 p.m., Mon. to Fri.",10 mins.,A point 105 metres west of Martin Grove Road , a point 70 metres further west
3432,Ludstone Drive,South,A point 52 metres west of Celestine Drive and a point 43 metres further west,"8:00 a.m. to 5:00 p.m., Mon. to Fri.",10 mins.,A point 52 metres west of Celestine Drive , a point 43 metres further west
3434,Strathgowan Avenue,North,Yonge Street and a point 90 metres east,7:00 a.m. to 9:00 p.m.,1 hour,Yonge Street , a point 90 metres east
3435,Strathgowan Avenue,North,A point 90 metres east of Yonge Street and a point 100 metres east of St. Hilda's Avenue,7:00 a.m. to 9:00 p.m. Apr. 1 to Dec. 31,1 hour,A point 90 metres east of Yonge Street , a point 100 metres east of St. Hilda's Avenue
3436,Sloley Road,South,Harewood Avenue and Neilson Avenue,"8:00 a.m. to 9:00 a.m., 11:00 a.m. to 1:00 p.m. and 3:00 p.m. to 4:00 p.m., Mon. to Fri.",15 mins.,Harewood Avenue , Neilson Avenue
3437,Sloley Road,South,Lyme Regis Crescent and a point 61 metres west,"8:00 a.m. to 9:00 a.m., 11:00 a.m. to 1:00 p.m. and 3:00 p.m. to 4:00 p.m., Mon. to Fri.",15 mins.,Lyme Regis Crescent , a point 61 metres west
3438,Sloley Road,South,Neilson Avenue and a point 30 metres east,"8:00 a.m. to 9:00 a.m., 11:00 a.m. to 1:00 p.m. and 3:00 p.m. to 4:00 p.m., Mon. to Fri.",15 mins.,Neilson Avenue , a point 30 metres east
3439,Leonard Avenue,East,A point 44 metres north of Wales Avenue and a point 129 metres south of Nassau Street,"8:00 a.m. to 6:00 p.m., Mon. to Fri.",1 hour,A point 44 metres north of Wales Avenue , a point 129 metres south of Nassau Street
3440,Leonard Avenue,East,Wales Avenue and a point 29.5 metres north,"8:00 a.m. to 6:00 p.m., Mon. to Fri.",1 hour,Wales Avenue , a point 29.5 metres north
3442,Rosehill Avenue,North,A point 44 metres east of Yonge Street and a point 11 metres further east,"7:30 a.m. to 9:00 a.m., 3:00 p.m. to 6:00 p.m., Mon. to Fri.",10 mins.,A point 44 metres east of Yonge Street , a point 11 metres further east
3443,Rosehill Avenue,North,A point 113 metres east of Yonge Street and a point 17 metres further east,"7:30 a.m. to 9:00 a.m., 3:00 p.m. to 6:00 p.m., Mon. to Fri.",10 mins.,A point 113 metres east of Yonge Street , a point 17 metres further east
3444,Wolverleigh Boulevard,North,A point 26 metres west of Woodmount Avenue and a point 19 metres further west,"7:30 a.m. to 10:00 a.m., 11:00 a.m. to 12:30 p.m. and 3:00 p.m. to 6:00 p.m., Mon. to Fri.",15 mins.,A point 26 metres west of Woodmount Avenue , a point 19 metres further west
3445,Woodmount Avenue,West,A point 15 metres north of Wolverleigh Boulevard and a point 27 metres further north,"7:30 a.m. to 10:00 a.m., 11:00 a.m. to 12:30 p.m. and 3:00 p.m. to 6:00 p.m., Mon. to Fri.",15 mins.,A point 15 metres north of Wolverleigh Boulevard , a point 27 metres further north
3446,Glen Manor Drive,East,Avion Avenue and a point 35.5 metres south of Queen Street East,"9:15 a.m. to 10:00 a.m., 12:15 p.m. to 12:45 p.m. and 2:15 p.m. to 2:45 p.m., Mon. to Fri.",10 mins.,Avion Avenue , a point 35.5 metres south of Queen Street East
3447,Hampton Avenue,East,Wolfrey Avenue and Garnock Avenue,9:00 a.m. to 6:00 p.m. Mon. to Fri.,1 hour,Wolfrey Avenue , Garnock Avenue
3448,Perth Avenue,North,A point 10 metres west of Sterling Road and a point 38 metres further west,"10:00 a.m. to 5:00 p.m., Mon. to Fri.",1 hour,A point 10 metres west of Sterling Road , a point 38 metres further west
3449,Lake Shore Boulevard West,South,A point 50 metres west of Fortieth Street and Thirty Third Street,8:00 a.m. to 6:00 p.m.,2 hours,A point 50 metres west of Fortieth Street , Thirty Third Street
3450,Borden Street,West,A point 35 metres south of Bagpipe Lane and Harbord Street,Anytime,1 hour,A point 35 metres south of Bagpipe Lane , Harbord Street
3451,Brule Terrace,Northeast,Brule Gardens and Bloor Street West,"8:00 a.m. to 6:00 p.m., Mon. to Fri.",2 hours,Brule Gardens , Bloor Street West
3452,Evelyn Avenue,East,A point 35 metres north of Annette Street and a point 153 metres north of Annette Street,"8:00 a.m. to 9:00 a.m. and 2:00 p.m. to 4:00 p.m., Mon. to Fri.",15 mins.,A point 35 metres north of Annette Street , a point 153 metres north of Annette Street
3453,Rustic Road,South,Culford Road and a point 58 metres east,Anytime,1 hour,Culford Road , a point 58 metres east
3454,Silverstone Drive,West,A point 144 metres south of Mount Olive Drive (south intersection) and a point 130 metres further south,7:30 a.m. to 6:00 p.m. Mon. to Fri.,15 mins.,A point 144 metres south of Mount Olive Drive (south intersection) , a point 130 metres further south
3455,Dawlish Avenue,North,Weybourne Crescent and a point 90 metres south,Anytime,1 hour,Weybourne Crescent , a point 90 metres south
3456,Tippett Road,East,A point 132 metres south of Wilson Avenue and the south end of Tippett Road,Anytime,2 hours,A point 132 metres south of Wilson Avenue , the south end of Tippett Road
3457,Rathnelly Avenue,West,A point 61 metres north of Cottingham Street (south intersection) and Poplar Plains Crescent,"10:00 a.m. to 6:00 p.m., Mon. to Fri.",1 hour,A point 61 metres north of Cottingham Street (south intersection) , Poplar Plains Crescent
3458,Rathnelly Avenue,West,Macpherson Avenue (south intersection) and a point 35.1 metres north of Cottingham Street (south intersection),"10:00 a.m. to 6:00 p.m., Mon. to Fri.",1 hour,Macpherson Avenue (south intersection) , a point 35.1 metres north of Cottingham Street (south intersection)
3459,Borden Street,East,Sussex Avenue and a point 41 metres south,Anytime,1 hour,Sussex Avenue , a point 41 metres south
3460,Lynwood Avenue,South,Poplar Plains Road and Avenue Road,8:00 a.m. to 9:00 a.m. Mon. to Fri.,15 mins.,Poplar Plains Road , Avenue Road
3461,St. Joseph Street,North,Queen's Park Crescent East and Bay Street,"Anytime, Sat. and Sun.",2 hours,Queen's Park Crescent East , Bay Street
3462,St. Joseph Street,South,Queen's Park Crescent East and Bay Street,"Anytime, Sun.",2 hours,Queen's Park Crescent East , Bay Street
3463,Busy Street,South,A point 9 metres west of Verral Avenue and a point 11 metres further west,7:30 a.m. to 9:30 a.m. and 4:00 p.m. to 6:00 p.m. Mon. to Fri.,10 mins.,A point 9 metres west of Verral Avenue , a point 11 metres further west
3464,Dovercourt Road,West,A point 30 metres south of College Street and a point 12 metres further south,"7:00 a.m. to 9:00 a.m. and 4:00 p.m. to 6:00 p.m., Mon. to Fri.",15 mins.,A point 30 metres south of College Street , a point 12 metres further south
3465,Bathurst Street,East,A point 87.5 metres north of Front Street West and Richmond Street West,"9:00 a.m. to 4:00 p.m., Mon. to Fri., except holidays",1 hour,A point 87.5 metres north of Front Street West , Richmond Street West
3466,Isaac Devins Boulevard,North and East,Mary Chapman Boulevard (north intersection) and a point 64 metres east of Abraham Welsh Road,8:00 p.m. of one day to 8:00 a.m. of the next following day,12 hours,Mary Chapman Boulevard (north intersection) , a point 64 metres east of Abraham Welsh Road
3467,Isaac Devins Boulevard,North and East,A point 85 metres east and south of Abraham Welsh Road and a point 9 metres north of McCartney Street,8:00 p.m. of one day to 8:00 a.m. of the next following day,12 hours,A point 85 metres east , south of Abraham Welsh Road 
