,highway,side,between,time,period,start_loc,end_loc
1018,Glengrove Avenue East,Both,Yonge Street and the east end of Glengrove Avenue East,"8:00 a.m. to 6:00 p.m., Mon. to Fri.",1 hour,Yonge Street , the east end of Glengrove Avenue East
1019,Glengrove Avenue West,North,Yonge Street and Duplex Avenue,8:00 a.m. to 6:00 p.m.,1 hour,Yonge Street , Duplex Avenue
1020,Glenholme Avenue,East,A point 109 metres north of Earnscliffe Road and a point 38 metres north thereof,"7:30 a.m. to 9:15 a.m., 11:15 a.m. to 1:15 p.m., 3:15 p.m. to 6:30 p.m., Mon. to Fri.",10 mins.,A point 109 metres north of Earnscliffe Road , a point 38 metres north thereof
1021,Glenlake Avenue,North,Indian Road and High Park Avenue,"8:00 a.m. to 6:00 p.m., Mon. to Fri.",1 hour,Indian Road , High Park Avenue
1022,Glenlake Avenue,North,Lane first west of Dundas Street West and Indian Road,8:00 a.m. to 6:00 p.m.,1 hour,Lane first west of Dundas Street West , Indian Road
1023,Glenlake Avenue,South,Mountview Avenue and Quebec Avenue,"8:00 a.m. to 6:00 p.m., Mon. to Fri.",1 hour,Mountview Avenue , Quebec Avenue
1024,Glenvale Boulevard,North,Bayview Avenue and Hanna Road,"10:00 a.m. to 6:00 p.m., Mon. to Fri., except public holidays",1 hour,Bayview Avenue , Hanna Road
1025,Glenwood Avenue,North,Fairview Avenue and Runnymede Road,"8:00 a.m. to 6:00 p.m., Mon. to Fri., Dec. 1 of one year to Mar. 31 of the next following year, inclusive",1 hour,Fairview Avenue , Runnymede Road
1027,Golden Avenue,West,Dundas Street West and the north end of Golden Avenue,"8:00 a.m. to 6:00 p.m., Mon. to Sat.",1 hour,Dundas Street West , the north end of Golden Avenue
1028,Goldhawk Trail,North,Pondtail Drive (east intersection) and a point 78 metres east,"8:00 a.m. to 4:00 p.m., Mon. to Fri.",30 mins.,Pondtail Drive (east intersection) , a point 78 metres east
1029,Goldhawk Trail,West,A point 47 metres south of a point opposite Enchanted Hills Crescent and a point 114 metres further south,"8:00 a.m. to 4:00 p.m., Mon. to Fri.",30 mins.,A point 47 metres south of a point opposite Enchanted Hills Crescent , a point 114 metres further south
1030,Golfdale Road,North,Bocastle Avenue and a point 35 metres east of Yonge Street,8:00 a.m. to 6:00 p.m.,1 hour,Bocastle Avenue , a point 35 metres east of Yonge Street
1031,Gordon Road,North,Seneca Street and a point 89 metres east,"8:00 a.m. to 5:00 p.m., Mon. to Fri.",1 hour,Seneca Street , a point 89 metres east
1034,Gormley Avenue,North,Lawton Boulevard and Oriole Parkway,10:00 a.m. to 6:00 p.m.,1 hour,Lawton Boulevard , Oriole Parkway
1035,Gosford Boulevard,West,Secroft Crescent (south intersection) and a point 119 metres south of Secroft Crescent (south intersection),8:00 a.m. to 4:00 p.m.,15 mins.,Secroft Crescent (south intersection) , a point 119 metres south of Secroft Crescent (south intersection)
1036,Gough Avenue,East,Danforth Avenue and the north end of Gough Avenue,"8:00 a.m. to 6:00 p.m., Mon. to Fri.",1 hour,Danforth Avenue , the north end of Gough Avenue
1039,Grace Street,West,Dundas Street West and Mansfield Avenue,7:00 a.m. to 6:00 p.m.,1 hour,Dundas Street West , Mansfield Avenue
1040,Gracefield Avenue,South,Del Ria Drive and a point 30 metres west of Bryn Road,"8:00 a.m. to 4:00 p.m., Mon. to Fri.",15 mins.,Del Ria Drive , a point 30 metres west of Bryn Road
1041,Grafton Avenue,South,Roncesvalles Avenue and Triller Avenue,Anytime,1 hour,Roncesvalles Avenue , Triller Avenue
1042,Granger Avenue,East,A point 45.8 metres south of Danforth Road and Harmony Avenue,"7:00 a.m. to 6:00 p.m., Mon. to Fri.",1 hour,A point 45.8 metres south of Danforth Road , Harmony Avenue
1043,Grant Street,East,Queen Street East and Kintyre Avenue,10:00 a.m. to 12:01 a.m.,1 hour,Queen Street East , Kintyre Avenue
1044,Green Bush Road,North,Hilda Avenue and a point 105 metres west of Tanjoe Crescent (east intersection),"9:00 a.m. to 3:00 p.m., Mon. to Fri.",1 hour,Hilda Avenue , a point 105 metres west of Tanjoe Crescent (east intersection)
1045,Greenbrook Drive,South,A point 252 metres west of Keele Street and Keele Street,Anytime,1 hour,A point 252 metres west of Keele Street , Keele Street
1046,Green Bush Road,North,Hilda Avenue and Tanjoe Crescent (west intersection),"9:00 a.m. to 3:00 p.m., Mon. to Fri.",1 hour,Hilda Avenue , Tanjoe Crescent (west intersection)
1047,Greenfield Avenue,North,Dudley Aveneu and Willowdale Avenue,"8:00 a.m. to 4:00 p.m., Mon. to Fri.",1 hour,Dudley Aveneu , Willowdale Avenue
1048,Greensides Avenue,East,St. Clair Avenue West and Benson Avenue,"8:00 a.m. to 6:00 p.m., Dec. 1 of one year to Mar. 31 of the next following year, inclusive",1 hour,St. Clair Avenue West , Benson Avenue
1049,Greenwood Avenue,West,Danforth Avenue and Oakvale Avenue,8:00 a.m. to 6:00 p.m.,1 hour,Danforth Avenue , Oakvale Avenue
1050,Greenwood Avenue,East,A point 38 metres south of Springdale Boulevard and Sammon Avenue,8:00 a.m. to 6:00 p.m.,1 hour,A point 38 metres south of Springdale Boulevard , Sammon Avenue
1051,Greenwood Avenue,East,A point 40.9 metres north of Milverton Boulevard and a point 88.7 metres south of Torbrick Road,8:00 a.m. to 6:00 p.m.,1 hour,A point 40.9 metres north of Milverton Boulevard , a point 88.7 metres south of Torbrick Road
1052,Greer Road,West,Lawrence Avenue West and Chatsworth Drive,"8:00 a.m. to 6:00 p.m., Mon. to Fri.",1 hour,Lawrence Avenue West , Chatsworth Drive
1053,Grenview Boulevard South,South,Bloor Street West and a point 30.5 metres south,"9:00 a.m. to 6:00 p.m., Mon. to Sat.",1 hour,Bloor Street West , a point 30.5 metres south
1055,Grenview Boulevard South,Both,Bloor Street West and a point 42.5 metres south,"9:00 a.m. to 6:00 p.m., Mon. to Sat.",2 hours,Bloor Street West , a point 42.5 metres south
1056,Grenview Boulevard South,Both,Bloor Street West and a point 42.5 metres south,"9:00 a.m. to 6:00 p.m., Mon. to Sat.",1 hour,Bloor Street West , a point 42.5 metres south
1057,Grenview Boulevard North,Both,Bloor Street West and a point 36.5 metres north,"9:00 a.m. to 6:00 p.m., Mon. to Sat.",1 hour,Bloor Street West , a point 36.5 metres north
1058,Grenview Boulevard South,Both,Bloor Street West and a point 30.5 metres south,"9:00 a.m. to 6:00 p.m., Mon. to Sat.",2 hours,Bloor Street West , a point 30.5 metres south
1059,Gresham Road,East,Belsize Drive and Manor Road East,"9:00 a.m. to 6:00 p.m., Mon. to Fri.",1 hour,Belsize Drive , Manor Road East
1060,Guest Avenue (east/west branch),South,A point 9 metres east of the north/south branch of Guest Avenue and Dawes Road,8:00 a.m. to 6:00 p.m.,1 hour,A point 9 metres east of the north/south branch of Guest Avenue , Dawes Road
1061,Guest Avenue (north/south branch),West,Danforth Avenue and a point 75 metres south,8:00 a.m. to 6:00 p.m.,1 hour,Danforth Avenue , a point 75 metres south
1062,Gunns Road,East,Tarragona Boulevard and the south end of Gunns Road,"8:00 a.m. to 6:00 p.m., Mon. to Fri.",1 hour,Tarragona Boulevard , the south end of Gunns Road
1063,Gwynne Avenue,East,King Street West and a point 53 metres south of Queen Street West,"8:00 a.m. to 6:00 p.m., Mon. to Sat., Dec. 1 of one year to Mar. 31 of the next following year, inclusive",1 hour,King Street West , a point 53 metres south of Queen Street West
1064,Haddington Avenue,North,Avenue Road and the first lane east of Avenue Road,"8:00 a.m. to 6:00 p.m., Mon. to Sat.",1 hour,Avenue Road , the first lane east of Avenue Road
